N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
39359,"TECNICOEMBALAGEM - TRANSFORMAcaO DE PAPEL, SA",INTERNACIONALTEC,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Leiria,Centro,Industria,17212 - Fabricacao de outras embalagens de papel e de cartao,,21-Nov-14,4979807,3236874,501527753
39156,"IMPL - MECaNICA DE PRECISaO, UNIPESSOAL, LDA",MELHORIA DE PROCESSOS E MODERNIZAcaO TECNOLoGICA DA UNIDADE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Centro,IAPMEI,Pombal,Centro,Industria,25620 - Actividades de mecanica geral,,12-Nov-14,467397,303808,504358405
27309,"IMOBILIaRIA FALANCES E FONTES, LDA",ARTHOTEL - CULTURAL & BUSINESS-SPA,SI Inovacao/Inovacao Produtiva,02/SI/2012,PO Norte,TP,Guimaraes,Norte,Turismo,55111 - Hoteis com restaurante,PCT do Turismo,30-Out-14,4853410,3640058,502068213
38171,"ARALAB - EQUIPAMENTOS DE LABORAToRIO E ELECTROMECaNICA GERAL, LDA",LEDING - INCORPORAcaO DA ILUMINAcaO LED EM CaMARAS CLIMaTICAS PARA A CULTURA DE ESPeCIES VEGETAIS EM AMBIENTE CONTROLADO,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Alentejo,IAPMEI,evora,Alentejo,Industria,"28992 - Fabricacao de outras maquinas diversas para uso especifico, ne",,14-Ago-14,165768,73899,501516590
42414,"GUMELO, LDA",AVALIAcaO DAS POTENCIALIDADES DE UTILIZAcaO DE RESiDUOS E SUBPRODUTOS AGROINDUSTRIAIS COMO SUBSTRATO PARA O CRESCIMENTO DE COGUMELOS GOURMET PRONTOS-A-CRESCER,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Almeirim,Alentejo,Outros sectores,01300 - Cultura de materiais de propagacao vegetativa,,14-Ago-14,14500,10875,510130640
42109,"PRICELESSBIZ - CONSULTADORIA DE GESTaO, LDA",PRICELESS - PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Alcacer do Sal,Alentejo,Servicos,"74900 - Outras actividades de consultoria, cientificas, tecnicas e similares, ne",,14-Ago-14,20000,15000,510464394
42305,"PARCELMIX, LDA",DESENVOLVIMENTO DE PLATAFORMA ELETRoNICA DA PARCELMIX,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Chamusca,Alentejo,Transportes,49410 - Transportes rodoviarios de mercadorias,,14-Ago-14,18280,13710,510585469
38412,"MASTERDREAM - DIGITAL MOVIE, LDA",CONSULTORIA PARA ELABORAcaO DE PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Algarve,IAPMEI,Portimao,Algarve,Servicos,"59110 - Producao de filmes, de videos e de programas de televisao",,06-Ago-14,19950,14963,510666280
34083,"HORTO DA CIDADE - PRODUcaO E COMeRCIO DE PLANTAS, LDA","BIOSUBSTRATPOT - CONCEcaO DE UM MEIO DE CULTURA/«SUBSTRATO COMPACTO PARA PLANTAcaO, INOVADOR, 100% BIODEGRADaVEL, COMPOSTO POR BIORESiDUOS PROCESSADOS E BIOPOLiMEROS ESTRUTURAIS, E DESENVOLVIDO EM FORMAS MODULARES ACOPLaVEIS DESTINADOS A SUBSTITUIR A UTI",I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Santo Tirso,Norte,Industria,20152 - Fabricacao de adubos organicos e organo-minerais,,01-Ago-14,273902,143169,504854763
34142,"PARSEC, SISTEMAS DE INFORMAcaO E CONTROLO, SA",PCA-MICROTESTBED - MINIATURIZAcaO DA TECNOLOGIA DE MAQUINAcaO DE CAMAS DE AGULHAS,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Industria,"26512 - Fabricacao de instrumentos e aparelhos de medida, verificacao, navegacao e outros fins, ne",,01-Ago-14,200991,129524,503033910
38546,"SILICONGATE, LDA",S_IP - SMART IP,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Porto,Norte,Servicos,72190 - Outra investigacao e desenvolvimento das ciencias fisicas e naturais,,01-Ago-14,169958,110586,508810108
38588,"PREWIND, LDA",PREVSOL - PREVISaO DA PRODUcaO DE ENERGIA ELeTRICA DE BASE SOLAR FOTOVOLTAICA,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Norte,IAPMEI,Porto,Norte,Servicos,71120 - Actividades de engenharia e tecnicas afins,,01-Ago-14,130092,87117,509508383
33684,"DIGIWEST - EMBEDDED AND WIRELESS SOLUTIONS, LDA",SIMA - SISTEMA INDUSTRIAL MODULAR AVANcADO,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Centro,IAPMEI,Marinha Grande,Centro,Industria,26120 - Fabricacao de placas de circuitos electronicos,,29-Jul-14,119539,73049,508516242
38602,"I2S - INFORMaTICA, SISTEMAS E SERVIcOS, SA",RDSTD - REQUIREMENTS-DRIVEN SOFTWARE TESTING AND DOCUMENTING,I&DT Empresas/Projectos Individuais,07/SI/2012,PO FC,IAPMEI,Porto,Norte,Servicos,62010 - Actividades de programacao informatica,,25-Jul-14,1480575,630802,501573704
38485,"PLASFIL - PLaSTICOS DA FIGUEIRA, SA",EDIL - ECODESIGN AND IMPACT LABELLING,I&DT Empresas/Projectos Individuais,07/SI/2012,PO FC,IAPMEI,Figueira da Foz,Centro,Industria,"22292 - Fabricacao de outros artigos de plastico, ne",,25-Jul-14,466760,232703,500219567
38320,"A FERREIRA & FILHOS, SA",CEP- UNIFORMS - VESTUaRIO MULTIFUNCIONAL INCORPORANDO CONFORTO/ERGONOMIA/PROTECcaO,I&DT Empresas/Projectos Individuais,07/SI/2012,PO FC,IAPMEI,Vizela,Norte,Industria,14390 - Fabricacao de outro vestuario de malha,,25-Jul-14,227736,114318,501092579
42486,"MUTUALOGOS - EXPLORAcaO FLORESTAL UNIPESSOAL, LDA",ELABORAcaO DE UM PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Mortagua,Centro,Comercio,46731 - Comercio por grosso de madeira em bruto e de produtos derivados,,14-Jul-14,12500,9375,510435912
42527,"ARROIVERDE II, UNIPESSOAL, LDA",ELABORAcaO DE UM PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Tondela,Centro,Comercio,46731 - Comercio por grosso de madeira em bruto e de produtos derivados,,14-Jul-14,12500,9375,510776248
42537,"CLEVERTEAM CONSULTING, LDA",DESENVOLVIMENTO DE PLATAFORMA DE TRANSMISaO DE DADOS ENTRE SERVER-SIDE E CLIENTE-SIDE PARA PLATAFORMAS MoVEIS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Albergaria-a-Velha,Centro,Servicos,63120 - Portais Web,,14-Jul-14,22000,15000,510735207
33909,TEGOPI INDuSTRIA METALOMECaNICA SA,GUINCHO ABERTO - PROJECTO DE CARRO GUINCHO ABERTO PARA GAMA DE CAPACIDADE ENTRE 50 E 500 TONS,I&DT Empresas/Projectos Individuais,07/SI/2012,PO FC,IAPMEI,Vila Nova de Gaia,Norte,Industria,"28222 - Fabricacao de equipamentos de elevacao e de movimentacao, ne",,09-Jul-14,1068784,395996,500281491
39235,"LUFI BOARD FACTORY, UNIPESSOAL, LDA",LBF II,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Vendas Novas,Alentejo,Industria,32300 - Fabricacao de artigos de desporto,,27-Jun-14,1013038,646598,510265790
39537,"BRIEFTIME - INDuSTRIA E COMeRCIO DE PRODUTOS ALIMENTARES, LDA",INSTALAcaO DA 1 FaBRICA DE PIZZAS REFRIGERADAS E CONGELADAS EM PORTUGAL INOVAcaO E INTERNACIONALIZAcaO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Benavente,Alentejo,Industria,10850 - Fabricacao de refeicoes e pratos pre-cozinhados,,27-Jun-14,3217609,1769685,510801242
39544,"AIR OLESA - SISTEMAS E COMPONENTES AERONaUTICOS, SA",I9AIR - PROJETO DE INOVAcaO VOCACIONADO PARA O SETOR AERONaUTICO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,evora,Alentejo,Industria,"30300 - Fabricacao de aeronaves, de veiculos espaciais e equipamento relacionado",,27-Jun-14,2946252,1915058,509273556
36884,"HOTELPOR - ACTIVIDADES TURiSTICAS, SA",": CENTRO INTERPRETATIVO DO MEDRONHO E ANIMAcaO TURiSTICA NA HERDADE DE MONTE SANTOS, NO ALQUEVA",SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,TP,Portel,Alentejo,Turismo,93293 - Organizacao de actividades de animacao turistica,,27-Jun-14,1653984,1075079,504304089
33239,"CASA ALTA - SOCIEDADE PRODUTORA DE oLEOS VEGETAIS E AZEITES, LDA",NOVA UNIDADE DE PRODUcaO DE EXTRAcaO DE GORDURA DO BAGAcO DE AZEITE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Ferreira do Alentejo,Alentejo,Industria,10413 - Producao de oleos vegetais brutos (excepto azeite),,27-Jun-14,6136166,3374790,508589738
33236,ALISIOS II - IMOBILIARIA E TURISMO SA,EDIFICAcaO DE UM RESTAURANTE PANORaMICO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Algarve,TP,Albufeira,Algarve,Turismo,55111 - Hoteis com restaurante,,27-Jun-14,235302,152947,504901095
26670,"HVSH - HERDADE DO VALE DAS SOBREIRAS HOTEL, LDA",VALE DAS SOBREIRAS HOTEL - HOTEL RURA,SI Inovacao/Inovacao Produtiva,02/SI/2012,PO FC,TP,Grandola,Alentejo,Turismo,55111 - Hoteis com restaurante,PCT do Turismo,27-Jun-14,1294271,970703,510241476
25265,"ASDRUBAL JA, SA",PROJECTO DE QUALIFICAcaO E INTERNACIONALIZAcaO DA A2,SI Qualificacao PME/Projectos Individuais e de Cooperacao,04/SI/2012,PO FC,IAPMEI,Santo Tirso,Norte,Comercio,46410 - Comercio por grosso de texteis,,27-Jun-14,194549,87507,504385259
26774,"IME - IMoVEIS E EMPREENDIMENTOS, SA",HOTEL DO HEROISMO - 4 ESTRELAS,SI Inovacao/Inovacao Produtiva,02/SI/2012,PO Norte,TP,Porto,Norte,Turismo,55111 - Hoteis com restaurante,PCT do Turismo,26-Jun-14,6859562,4406320,503226033
40564,"YOUR CONCEPT, UNIPESSOAL, LDA","CONQUISTA DE UMA PRESENcA ATIVA NO MERCADO GLOBAL, JUNTO DO SEGMENTO DE CALcADO DE GAMA MeDIA/ALTA, APOSTANDO EM INSTRUMENTOS DE INTERNACIONALIZAcaO",SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Centro,AICEP,Torres Novas,Centro,Comercio,46422 - Comercio por grosso de calcado,,26-Jun-14,436771,209339,510669557
36589,"VALLUE OPTIMIZED - COMERCIALIZAcaO, IMPORTAcaO E EXPORTAcaO, LDA",I-STONE B2B PORTAL,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Aveiro,Centro,Comercio,"46382 - Comercio por grosso de outros produtos alimentares, ne",,26-Jun-14,20000,15000,510604030
39254,"SOFTCOATINGS - TRATAMENTO DE SUPERFICIES, LDA",INVESTIMENTO NUMA UNIDADE UNICA EM PORTUGAL DE TRATAMENTOS DE SUPERFICIES,SI Inovacao/Empreendedorismo Qualificado,13/SI/2012,PO Norte,IAPMEI,Vila Nova de Famalicao,Norte,Industria,29320 - Fabricacao de outros componentes e acessorios para veiculos automoveis,,26-Jun-14,1144114,858085,510513018
42551,"MOVALU, UNIPESSOAL, LDA",MOVALU MARKETING,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Aveiro,Centro,Industria,"25120 - Fabricacao de portas, janelas e elementos similares em metal",,26-Jun-14,20000,15000,510465927
42562,"SiMBOLOS & BANDEIRAS - UNIPESSOAL, LDA","ECONOMIA DIGITAL, ATRAVeS DA ELABORAcaO DE SITE PHP COM SISTEMA DE RESERVAS E PAGAMENTOS ONLINE",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,TP,Braga,Norte,Turismo,55201 - Alojamento mobilado para turistas,,25-Jun-14,5335,4001,509543987
33707,"CASA DA TRIGUEIRA - SOCIEDADE AGRO-TURISTICA, LDA",CERTIFICAcaO CHAVE-VERDE,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,TP,Alijo,Norte,Turismo,55202 - Turismo no espaco rural,,25-Jun-14,20000,15000,509943969
37723,"TCASE, LDA",CRIAcaO DE UMA PAGINA WEB COM B2B COM CLIENTES ON LINE,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Vila Nova de Gaia,Norte,Servicos,62020 - Actividades de consultoria em informatica,,25-Jun-14,35000,15000,510700535
39728,"MARATONAS DE LEITURA - CONSULTORES EDITORIAIS, LDA",INTERNACIONALIZAcaO MARATONAS DA LEITURA,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Paredes,Norte,Servicos,"82300 - Organizacao de feiras, congressos e outros eventos similares",,25-Jun-14,192313,89816,509811825
36092,"MoVEIS GENTIL, LDA",EXODUS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Norte,IAPMEI,Paredes,Norte,Industria,31091 - Fabricacao de mobiliario de madeira para outros fins,,25-Jun-14,799635,519763,502631228
40539,"WINE AND SOUL, LDA",INTERNACIONALIZAcaO 2014/2015,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Alijo,Norte,Industria,11021 - Producao de vinhos comuns e licorosos,,25-Jun-14,75300,36384,506538486
37337,"PORTO UNION, LDA",PORTUGUESE FAST-MOVING CONSUMER GOODS,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Porto,Norte,Comercio,"46170 - Agentes do comercio por grosso de produtos alimentares, bebidas e tabaco",,25-Jun-14,506725,285150,510712266
40096,"PATRiCIA DIOGO, UNIPESSOAL, LDA","DIVULGAcaO NA INTERNET DO TRABALHO DESENVOLVIDO PELA PATRiCIA DIOGO, UNIPESSOAL LDA",SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Servicos,71110 - Actividades de arquitectura,,25-Jun-14,20000,15000,510814468
40331,"ECOREDE - ENGENHARIA E SERVIcOS, SA",REFORcO DA ESTRATeGIA DE INTERNACIONALIZAcaO DA ECOREDE E CONSEQUENTE CONSOLIDAcaO E ALARGAMENTO DA POSIcaO DA EMPRESA NOS MERCADOS ALVO EXTERNOS,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Chaves,Norte,Servicos,02200 - Exploracao florestal,,25-Jun-14,137571,63430,508271754
38715,"EUROSPUMA-SOC INDUSTRIAL DE ESPUMAS SINTeTICAS, SA",EUROPLUS - ESTRATeGIA DE CONSOLIDAcaO DA INTERNACIONALIZAcaO DA EUROSPUMA,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO FC,AICEP,Espinho,Norte,Industria,"22210 - Fabricacao de chapas, folhas, tubos e perfis de plastico",,24-Jun-14,107995,52504,500102430
38780,"CLEVER REINFORCEMENT IBeRICA - MATERIAIS DE CONSTRUcaO, LDA","CUTINOV - INOVADORES LAMINADOS DE FIBRA DE CARBONO COM CAPACIDADE DE SIMULTANEAMENTE REFORcAR a FLEXaO, CORTE/PUNcOAMENTO ELEMENTOS DE BETaO ARMADO",I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Multi-Regioes,Industria,20592 - Fabricacao de produtos quimicos auxiliares para uso industrial,,24-Jun-14,307674,203620,507128249
38783,"ALTRANPORTUGAL, SA",2ND VISION,I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Centro,Servicos,62020 - Actividades de consultoria em informatica,,24-Jun-14,407220,251289,504272179
38920,"SPINWORKS, SA",AGROMAPPER - DESENVOLVIMENTO DE UM SOFTWARE DE PROCESSAMENTO E VISUALIZAcaO DE IMAGENS AeREAS PARA APLICAcoES DE AGRO-FLORESTAIS,I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Multi-Regioes,Servicos,71120 - Actividades de engenharia e tecnicas afins,,24-Jun-14,255054,187588,507621522
38938,"VENTIL - ENGENHARIA DO AMBIENTE, LDA",PLUG&HEAT - SISTEMA COMPACTO DE MeDIA POTeNCIA PARA A PRODUcaO DE ENERGIA TeRMICA A PARTIR DE BIOMASSA,I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Multi-Regioes,Industria,25210 - Fabricacao de caldeiras e radiadores para aquecimento central,,24-Jun-14,488387,320031,500296588
39013,"FREEDOMGROW - SISTEMAS DE INFORMAcaO, SA",TURCARE - TURISMO DE SAuDE E BEM-ESTAR INTEGRADO,I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Multi-Regioes,Servicos,62010 - Actividades de programacao informatica,,24-Jun-14,362463,268647,509659500
36006,ICEL,INTRODUcaO DE SISTEMA DE CORTE A LASER NO PROCESSO PRODUTIVO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Alcobaca,Centro,Industria,25710 - Fabricacao de cutelaria,,24-Jun-14,650600,357830,500136076
39546,"CARITe CALcADOS, LDA",OS FACTORES INTERNOS COMO FORMA DE COMPETITIVIDADE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Felgueiras,Norte,Industria,15201 - Fabricacao de calcado,,24-Jun-14,829826,453419,502417749
39341,RECIMICRO - RECICLAGEM E MICRONIZAcaO DA PLaSTICOS SA,#ERROR!,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Torres Vedras,Centro,Servicos,38322 - Valorizacao de residuos nao metalicos,,24-Jun-14,2777494,1803278,507439589
42529,"B&M PLAST - INDuSTRIA DE PLaSTICOS, LDA",DESENVOLVIMENTO E CARACTERIZAcaO DE EQUIPAMENTOS PARA ENSAIOS DE AUTOCLISMOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO FC,IAPMEI,obidos,Centro,Industria,22230 - Fabricacao de artigos de plastico para a construcao,,18-Jun-14,20000,15000,510759645
33857,"PURPLESYMBOL UNIPESSOAL, LDA",PURPLESYMBOL - INVESTIMENTO EM aREAS CHAVE DA EMPRESA,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Santo Tirso,Norte,Comercio,"46762 - Comercio por grosso de outros bens intermedios, ne",,06-Jun-14,336446,150933,510325068
39301,"ALFACAR, CARTONAGEM, LDA",NOVOS PROCESSOS E MeTODOS PARA CONQUISTA DOS MERCADOS EXTERNOS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Norte,IAPMEI,Oliveira de Azemeis,Norte,Industria,17212 - Fabricacao de outras embalagens de papel e de cartao,,06-Jun-14,437811,284577,502009225
36038,"ACA-ALOJAMENTO EM CASAS ANTIGAS, LDA",PAcO DE VITORINO - HOTEL RURAL,SI Inovacao/Empreendedorismo Qualificado,13/SI/2012,PO Norte,TP,Ponte de Lima,Norte,Turismo,55202 - Turismo no espaco rural,,06-Jun-14,1328748,993957,510250831
36468,"FAIRWAY, MEDICAL TOURISM PORTUGAL, SA",MEDICALPORT,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Porto,Norte,Servicos,"63110 - Actividades de processamento de dados, domiciliacao de informacao e actividades relacionadas",,06-Jun-14,216470,97086,510603556
36886,"PADRaO ALECRIM -, LDA",CONSULTORIA EM MARKETING ESTRATeGICO E COMUNICAcaO DIRECCIONADA,SI Inovacao/Empreendedorismo Qualificado,13/SI/2012,PO Norte,IAPMEI,Porto,Norte,Servicos,73110 - Agencias de publicidade,,06-Jun-14,432725,324544,510691374
34820,"REBOQUES MONTEJUNTO II, LD",IMPLEMENTAcaO DO SISTEMA DE GESTaO DA QUALIDADE NA EMPRESA REBOQUES MONTEJUNTO II,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Azambuja,Alentejo,Transportes,52212 - Assistencia a veiculos na estrada,,06-Jun-14,14000,10500,508640849
39791,"EPPT - EXPORTOOLS - PORTUGUESE TOOLS, ACE",EXPORTOOLS_INTERNATIONAL: RUMO A MERCADOS ESTRATeGICOS E ALTAMENTE COMPETITIVOS,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO FC,AICEP,Oliveira de Azemeis,Norte,Comercio,46690 - Comercio por grosso de outras maquinas e equipamentos,,06-Jun-14,102646,54381,509058442
36992,POLISTOCK - SOC AGRO-PECUaRIA TURiSTICA E IMOBILIaRIA SA,`AZEITES E VINHOS TiPICOS PORTUGUESES`,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Alentejo,AICEP,Gaviao,Alentejo,Comercio,"46332 - Comercio por grosso de azeite, oleos e gorduras alimentares",,06-Jun-14,252440,135083,503604402
37885,"FIXABALANcO - UNIPESSOAL, LDA",ESTRATeGIA DE MARKETING,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Alentejo,IAPMEI,Grandola,Alentejo,Comercio,46771 - Comercio por grosso de sucatas e de desperdicios metalicos,,06-Jun-14,20000,15000,510637035
37671,"BEIRA FOOD - PRODUTOS AGRO-ALIMENTARES DA RAIA, LDA",PLANO INTEGRADO DE MARKETING E COMUNICAcaO,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Sabugal,Centro,Comercio,"47112 - Comercio a retalho em outros estabelecimentos nao especializados, com predominancia de produtos alimentares, bebidas ou tabaco",,04-Jun-14,19950,14963,510348769
37499,"INDICE ICT & MANAGEMENT, LDA",REFORcAR PRESENcA NOS MERCADOS INTERNACIONAIS,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Centro,AICEP,Leiria,Centro,Servicos,62090 - Outras actividades relacionadas com as tecnologias da informacao e informatica,,04-Jun-14,142898,71795,502216336
39196,"MONTEBRAVO - PRODUcaO E COMERCIALIZAcaO DE PRODUTOS ALIMENTARES, SA",MONTEBRAVO 2013 - 2015,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,AICEP,Torres Novas,Centro,Industria,10110 - Abate de gado (producao de carne),,29-Mai-14,4812722,2166894,505786494
39635,"CATARI INDuSTRIA, SA","CATARI XXI, IMPULSO a INOVAcaO",SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Vale de Cambra,Norte,Industria,25110 - Fabricacao de estruturas de construcoes metalicas,,29-Mai-14,171993,92325,501761721
31973,BICAFe,DESENVOLVIMENTO DE NOVOS PRODUTOS E NOVOS PROCESSOS PARA AFIRMAcaO A PRODUcaO DE CaPSULAS,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Gondomar,Norte,Industria,10830 - Industria do cafe e do cha,,29-Mai-14,1157155,634430,502961759
37938,"ASSOCIAcaO COMERCIAL, INDUSTRIAL E DE SERVIcOS DA NAZARe",POUPAR ENERGIA - ESTRATeGIA DE DIVERSIFICAcaO E EFICIeNCIA ENERGeTICA PARA PME,SI Qualificacao PME/Projectos Conjuntos,11/SI/2012,PO Centro,IAPMEI,Nazare,Centro,Turismo,56101 - Restaurantes tipo tradicional,PCT da Energia,27-Mai-14,234906,122650,503212326
38942,"POWER DATA, LDA","BI CONVERGENCE2UTILITIES - SOLUcaO QUE TRANSFORMA BIG DATA GERADOS EM TEMPO REAL PELAS SMART GRIDS EM CONHECIMENTO DE NEGoCIO E OPERACIONAL PARA AS UTILITIES, A PARTIR DA CONVERGeNCIA ENTRE OS VETORES ANALiTICO, PREDITIVO E DE TEMPO REAL",I&DT Empresas/Projectos em Co-promocao,08/SI/2012,PO FC,AdI,Multi-Concelhos,Multi-Regioes,Servicos,62010 - Actividades de programacao informatica,,20-Mai-14,879823,556322,510731651
39111,"EN ZÝMe, UNIPESSOAL, LDA",ELABORAcaO E IMPLEMENTAcaO DO PLANO DE MARKETING,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Braga,Norte,Servicos,70220 - Outras actividades de consultoria para os negocios e a gestao,,07-Mai-14,20000,15000,510802249
38109,"PTFTR, LDA",OBJECTIVO VENDAS: 45 MILHoES,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Norte,IAPMEI,Guimaraes,Norte,Industria,15201 - Fabricacao de calcado,,07-Mai-14,473213,307155,509208363
35930,"MIGUEL FERREIRA - INDuSTRIA DE MOBILIaRIO, LDA",FLEXIBILIZAcaO DE UMA UNIDADE DE PRODUcaO DE MESAS DE MADEIRA,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Norte,IAPMEI,Paredes,Norte,Industria,31091 - Fabricacao de mobiliario de madeira para outros fins,,07-Mai-14,397863,258611,505838168
36310,"GREEN BY WEB, UNIPESSOAL, LDA",DESENVOLVIMENTO DE SOLUcaO WEB DE SUPORTE A REGAS E PLANO DE NEGoCIOS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Arcos de Valdevez,Norte,Servicos,71120 - Actividades de engenharia e tecnicas afins,,07-Mai-14,15000,11250,510642454
37849,"TECHSPACE, UNIPESSOAL, LDA",DINAMIZAcaO GLOBAL,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Norte,IAPMEI,Matosinhos,Norte,Servicos,62020 - Actividades de consultoria em informatica,,07-Mai-14,19850,14888,510720544
32361,"BALLET ROSA CONFECcoES, LDA",PROJECTO DE INTERNACIONALIZAcaO BALLET ROSA,SI Qualificacao PME/Projectos Individuais e de Cooperacao,10/SI/2012,PO Norte,AICEP,Guimaraes,Norte,Industria,14131 - Confeccao de outro vestuario exterior em serie,,07-Mai-14,220705,121209,509474632
30372,PAULO ROGeRIO SIMoES FIGUEIREDO,VALOR QUEIJO - VALOR QUEIJO - SOLUcaO BIOTECNOLoGICA,I&DT Empresas/Projectos Individuais,07/SI/2012,PO Centro,IAPMEI,Oliveira do Hospital,Centro,Industria,10510 - Industrias do leite e derivados,,05-Mai-14,242668,158414,187467749
37857,"MADE2WEB - DIGITAL AGENCY UNIPESSOAL, LDA",DESENVOLVIMENTO DE PLATAFORMA INFORMaTICA DE APOIO AO RELACIONAMENTO COM CLIENTES EMPRESARIAIS,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Caldas da Rainha,Centro,Servicos,62090 - Outras actividades relacionadas com as tecnologias da informacao e informatica,,05-Mai-14,19800,14850,510751199
37900,"FRIDAY: CIeNCIA E ENGENHARIA DO LAZER, SA",FRIDAY CONCEPT I&DT,SI Qualificacao PME/Vale Inovacao,06/SI/2012,PO Centro,IAPMEI,Coimbra,Centro,Servicos,72190 - Outra investigacao e desenvolvimento das ciencias fisicas e naturais,,05-Mai-14,19000,14250,510445276
